,KABKOT,month,year,longitude,latitude,tp,time
143,JAKARTA SELATAN,5,2021,106.8083333333333,-6.283333333333336,4.05682766189187,2021-05-01
148,JAKARTA SELATAN,6,2021,106.8083333333333,-6.283333333333336,4.931611567735623,2021-06-01
153,JAKARTA SELATAN,7,2021,106.8083333333333,-6.283333333333336,1.5440684432784393,2021-07-01
158,JAKARTA SELATAN,8,2021,106.8083333333333,-6.283333333333336,5.851865683992853,2021-08-01
163,JAKARTA SELATAN,9,2021,106.8083333333333,-6.283333333333336,5.79701301952219,2021-09-01
168,JAKARTA SELATAN,10,2021,106.8083333333333,-6.283333333333336,4.822107125073551,2021-10-01
173,JAKARTA SELATAN,11,2021,106.8083333333333,-6.283333333333336,9.453503166635477,2021-11-01
178,JAKARTA SELATAN,12,2021,106.8083333333333,-6.283333333333336,7.86887997140474,2021-12-01
183,JAKARTA TIMUR,1,2021,106.90999999999997,-6.2600000000000025,11.346333175897453,2021-01-01
188,JAKARTA TIMUR,2,2021,106.90999999999997,-6.2600000000000025,14.170351058244345,2021-02-01
193,JAKARTA TIMUR,3,2021,106.90999999999997,-6.2600000000000025,9.007793657481432,2021-03-01
198,JAKARTA TIMUR,4,2021,106.90999999999997,-6.2600000000000025,5.7875642590223375,2021-04-01
203,JAKARTA TIMUR,5,2021,106.90999999999997,-6.2600000000000025,3.8649326786399754,2021-05-01
208,JAKARTA TIMUR,6,2021,106.90999999999997,-6.2600000000000025,5.081139743328026,2021-06-01
213,JAKARTA TIMUR,7,2021,106.90999999999997,-6.2600000000000025,1.6634921953081612,2021-07-01
218,JAKARTA TIMUR,8,2021,106.90999999999997,-6.2600000000000025,5.339120492339334,2021-08-01
223,JAKARTA TIMUR,9,2021,106.90999999999997,-6.2600000000000025,5.436276994645757,2021-09-01
228,JAKARTA TIMUR,10,2021,106.90999999999997,-6.2600000000000025,5.080208621918997,2021-10-01
233,JAKARTA TIMUR,11,2021,106.90999999999997,-6.2600000000000025,10.159353345632098,2021-11-01
238,JAKARTA TIMUR,12,2021,106.90999999999997,-6.2600000000000025,8.295285508036422,2021-12-01
243,JAKARTA UTARA,1,2021,106.89166666666664,-6.1250000000000036,10.735750676443102,2021-01-01
248,JAKARTA UTARA,2,2021,106.89166666666664,-6.1250000000000036,15.811612463245423,2021-02-01
253,JAKARTA UTARA,3,2021,106.89166666666664,-6.1250000000000036,7.718819770961914,2021-03-01
258,JAKARTA UTARA,4,2021,106.89166666666664,-6.1250000000000036,5.310250930488067,2021-04-01
263,JAKARTA UTARA,5,2021,106.89166666666664,-6.1250000000000036,3.568791927148975,2021-05-01
268,JAKARTA UTARA,6,2021,106.89166666666664,-6.1250000000000036,4.9187243233124205,2021-06-01
273,JAKARTA UTARA,7,2021,106.89166666666664,-6.1250000000000036,1.6541043172279926,2021-07-01
278,JAKARTA UTARA,8,2021,106.89166666666664,-6.1250000000000036,4.572350190331759,2021-08-01
283,JAKARTA UTARA,9,2021,106.89166666666664,-6.1250000000000036,4.857002949963134,2021-09-01
288,JAKARTA UTARA,10,2021,106.89166666666664,-6.1250000000000036,4.442771753917042,2021-10-01
293,JAKARTA UTARA,11,2021,106.89166666666664,-6.1250000000000036,8.136556434134347,2021-11-01
298,JAKARTA UTARA,12,2021,106.89166666666664,-6.1250000000000036,8.356442973017446,2021-12-01
4,JAKARTA BARAT,1,2022,106.74999999999996,-6.158333333333336,6.211204094191294,2022-01-01
9,JAKARTA BARAT,2,2022,106.74999999999996,-6.158333333333336,6.593098811184325,2022-02-01
14,JAKARTA BARAT,3,2022,106.74999999999996,-6.158333333333336,4.9302262502412315,2022-03-01
19,JAKARTA BARAT,4,2022,106.74999999999996,-6.158333333333336,5.894483961165025,2022-04-01
24,JAKARTA BARAT,5,2022,106.74999999999996,-6.158333333333336,4.471461152037029,2022-05-01
29,JAKARTA BARAT,6,2022,106.74999999999996,-6.158333333333336,4.836592158923613,2022-06-01
34,JAKARTA BARAT,7,2022,106.74999999999996,-6.158333333333336,5.34084418167692,2022-07-01
39,JAKARTA BARAT,8,2022,106.74999999999996,-6.158333333333336,2.63290228322157,2022-08-01
44,JAKARTA BARAT,9,2022,106.74999999999996,-6.158333333333336,5.058992020785955,2022-09-01
49,JAKARTA BARAT,10,2022,106.74999999999996,-6.158333333333336,8.69398850637187,2022-10-01
54,JAKARTA BARAT,11,2022,106.74999999999996,-6.158333333333336,5.420633082588494,2022-11-01
59,JAKARTA BARAT,12,2022,106.74999999999996,-6.158333333333336,7.583383352806088,2022-12-01
64,JAKARTA PUSAT,1,2022,106.84999999999997,-6.200000000000003,6.387758925556966,2022-01-01
69,JAKARTA PUSAT,2,2022,106.84999999999997,-6.200000000000003,6.939271874725682,2022-02-01
74,JAKARTA PUSAT,3,2022,106.84999999999997,-6.200000000000003,5.342451147734952,2022-03-01
79,JAKARTA PUSAT,4,2022,106.84999999999997,-6.200000000000003,6.224453113973061,2022-04-01
84,JAKARTA PUSAT,5,2022,106.84999999999997,-6.200000000000003,4.45075042545793,2022-05-01
89,JAKARTA PUSAT,6,2022,106.84999999999997,-6.200000000000003,4.871469624340505,2022-06-01
94,JAKARTA PUSAT,7,2022,106.84999999999997,-6.200000000000003,4.817460998893101,2022-07-01
99,JAKARTA PUSAT,8,2022,106.84999999999997,-6.200000000000003,2.546699158847389,2022-08-01
104,JAKARTA PUSAT,9,2022,106.84999999999997,-6.200000000000003,4.883859008550829,2022-09-01
109,JAKARTA PUSAT,10,2022,106.84999999999997,-6.200000000000003,9.109007883816847,2022-10-01
114,JAKARTA PUSAT,11,2022,106.84999999999997,-6.200000000000003,6.044120602309543,2022-11-01
119,JAKARTA PUSAT,12,2022,106.84999999999997,-6.200000000000003,8.146679736673606,2022-12-01
124,JAKARTA SELATAN,1,2022,106.8083333333333,-6.283333333333336,6.133702614654962,2022-01-01
129,JAKARTA SELATAN,2,2022,106.8083333333333,-6.283333333333336,7.170308536539367,2022-02-01
134,JAKARTA SELATAN,3,2022,106.8083333333333,-6.283333333333336,5.728620787461448,2022-03-01
139,JAKARTA SELATAN,4,2022,106.8083333333333,-6.283333333333336,6.754099080959899,2022-04-01
144,JAKARTA SELATAN,5,2022,106.8083333333333,-6.283333333333336,4.537256589780256,2022-05-01
