,KABKOT,month,year,longitude,latitude,pm2p5,time,RH,t2m,tp,ispa,so2
193,JAKARTA PUSAT,2,2021,106.84999999999997,-6.200000000000003,38.09197954988507,2021-02-01,86.85421752929669,26.498713378906245,14.592087119817386,5538,65.59872155035008
194,JAKARTA PUSAT,3,2021,106.84999999999997,-6.200000000000003,47.97457590891931,2021-03-01,82.97490844726555,27.1511291503906,8.138815984129714,5965,100.70663677866652
195,JAKARTA PUSAT,4,2021,106.84999999999997,-6.200000000000003,61.49780557980997,2021-04-01,81.48869628906255,27.397418212890614,5.379415787756331,6284,119.02659908168972
196,JAKARTA PUSAT,5,2021,106.84999999999997,-6.200000000000003,65.18109853933267,2021-05-01,81.19916992187513,27.980268554687484,3.708481527865008,5513,126.720546186242
197,JAKARTA PUSAT,6,2021,106.84999999999997,-6.200000000000003,60.50684868104948,2021-06-01,83.70742797851561,27.09065551757812,4.860378764569697,11070,117.10905004053744
198,JAKARTA PUSAT,7,2021,106.84999999999997,-6.200000000000003,63.25307863856383,2021-07-01,78.02808837890638,27.264926757812475,1.562837809324224,7461,126.5226467605655
199,JAKARTA PUSAT,8,2021,106.84999999999997,-6.200000000000003,63.65321183921112,2021-08-01,78.75578613281246,27.37955688476564,5.246378108859259,4139,111.44752553811364
200,JAKARTA PUSAT,9,2021,106.84999999999997,-6.200000000000003,57.55683722223269,2021-09-01,79.24213256835942,27.62028076171873,5.10979820042861,10595,104.24127297431336
201,JAKARTA PUSAT,10,2021,106.84999999999997,-6.200000000000003,60.91177882675996,2021-10-01,79.5725585937498,27.81060546875,4.605969861149648,10989,103.52580063291082
202,JAKARTA PUSAT,11,2021,106.84999999999997,-6.200000000000003,42.553280135137925,2021-11-01,81.74925537109344,27.315157470703127,8.711064681410397,9208,87.33099520969337
203,JAKARTA PUSAT,12,2021,106.84999999999997,-6.200000000000003,44.47647510730224,2021-12-01,83.64268188476557,27.17530761718752,7.924561128020075,16190,88.17734372913887
